name,status,source,target_archive,target_extract,size_bytes,updated_at,notes
VSPW,downloaded,https://drive.google.com/file/d/14yHWsGneoa1pVdULFk7cah3t-THl7yEz/view?usp=sharing,/home/chen034/workspace/stwm/data/raw/vspw/VSPW_data.tar,/home/chen034/workspace/stwm/data/external/vspw,45879057408,2026-03-30 00:45:30,Official VSPW full dataset archive
VISOR,downloaded,https://data.bris.ac.uk/datasets/tar/2v6cgv1x04ol22qp9rm9x2j6a7.zip,/home/chen034/workspace/stwm/data/raw/visor/visor_complete.zip,/home/chen034/workspace/stwm/data/external/visor,30572126007,2026-03-30 02:34:39,Official VISOR complete archive
VISOR,downloaded,https://data.bris.ac.uk/datasets/tar/2v6cgv1x04ol22qp9rm9x2j6a7.zip,/home/chen034/workspace/stwm/data/raw/visor/visor_complete.zip,/home/chen034/workspace/stwm/data/external/visor,30572126007,2026-03-30 02:34:55,Official VISOR complete archive
BURST annotations,downloaded,https://omnomnom.vision.rwth-aachen.de/data/BURST/annotations.zip,/home/chen034/workspace/stwm/data/raw/burst/annotations.zip,/home/chen034/workspace/stwm/data/external/burst/annotations,415262729,2026-03-30 02:36:02,Official BURST annotations archive
VIPSeg,downloaded,https://drive.google.com/file/d/1B13QUiE82xf7N6nVHclb4ErN-Zuai-sZ/view?usp=sharing,/home/chen034/workspace/stwm/data/raw/vipseg/vipseg_archive.zip,/home/chen034/workspace/stwm/data/external/vipseg,15566991360,2026-03-30 02:38:11,Official VIPSeg dataset archive
BURST annotations,downloaded,https://omnomnom.vision.rwth-aachen.de/data/BURST/annotations.zip,/home/chen034/workspace/stwm/data/raw/burst/annotations.zip,/home/chen034/workspace/stwm/data/external/burst/annotations,415262729,2026-03-30 02:38:18,Official BURST annotations archive
TAO train images,downloaded,https://motchallenge.net/data/1-TAO_TRAIN.zip,/home/chen034/workspace/stwm/data/raw/burst/1-TAO_TRAIN.zip,/home/chen034/workspace/stwm/data/external/burst/images/train,40678875718,2026-03-30 05:07:23,Official TAO train archive
TAO train images,downloaded,https://motchallenge.net/data/1-TAO_TRAIN.zip,/home/chen034/workspace/stwm/data/raw/burst/1-TAO_TRAIN.zip,/home/chen034/workspace/stwm/data/external/burst/images/train,40678875718,2026-03-30 05:07:46,Official TAO train archive
TAO val images,downloaded,https://motchallenge.net/data/2-TAO_VAL.zip,/home/chen034/workspace/stwm/data/raw/burst/2-TAO_VAL.zip,/home/chen034/workspace/stwm/data/external/burst/images/val,81668022532,2026-03-30 10:13:53,Official TAO val archive
TAO val images,downloaded,https://motchallenge.net/data/2-TAO_VAL.zip,/home/chen034/workspace/stwm/data/raw/burst/2-TAO_VAL.zip,/home/chen034/workspace/stwm/data/external/burst/images/val,81668022532,2026-03-30 10:14:04,Official TAO val archive
VIPSeg,downloaded,https://drive.google.com/file/d/1B13QUiE82xf7N6nVHclb4ErN-Zuai-sZ/view?usp=sharing,/home/chen034/workspace/stwm/data/raw/vipseg/vipseg_archive.zip,/home/chen034/workspace/stwm/data/external/vipseg,15566991360,2026-03-30 12:32:33,Official VIPSeg dataset archive
TAO test images,downloaded,https://motchallenge.net/data/3-TAO_TEST.zip,/home/chen034/workspace/stwm/data/raw/burst/3-TAO_TEST.zip,/home/chen034/workspace/stwm/data/external/burst/images/test,119289343883,2026-03-30 15:53:40,Official TAO test archive
