row_type,relative_path,size_bytes,size_human,file_count,latest_modified,has_checkpoint,has_eval_json,has_figure,has_log,has_queue_state,rank,reference_pattern,reference_file,reference_line,reference_text
dir_depth_1_3,outputs/audits,117914436008,109.82GB,65,2026-04-01 17:42:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155536,2699,2.64KB,9,2026-04-01 15:55:46,False,True,False,False,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155536/lane0,643,643B,3,2026-04-01 15:55:46,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155536/lane1,639,639B,3,2026-04-01 15:55:46,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155536/training_lane0,0,0B,0,2026-04-01 15:55:43,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155536/training_lane1,0,0B,0,2026-04-01 15:55:44,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155639,58957168618,54.91GB,28,2026-04-01 16:17:48,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155639/lane0,24496887274,22.81GB,8,2026-04-01 16:16:51,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155639/lane1,4981738261,4.64GB,8,2026-04-01 16:17:46,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155639/training_lane0,24496837114,22.81GB,4,2026-04-01 16:16:26,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_155639/training_lane1,4981700863,4.64GB,4,2026-04-01 16:17:40,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_161909,58957264691,54.91GB,28,2026-04-01 17:42:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_161909/lane0,24496869531,22.81GB,8,2026-04-01 17:40:48,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_161909/lane1,4981834630,4.64GB,8,2026-04-01 17:42:25,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_161909/training_lane0,24496854692,22.81GB,4,2026-04-01 17:40:23,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/audits/stwm_v4_2_phase01_20260401_161909/training_lane1,4981700752,4.64GB,4,2026-04-01 17:42:19,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/background_jobs,118870,116.08KB,54,2026-04-04 23:26:57,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/baselines,0,0B,0,2026-03-30 00:20:13,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/benchmarks,19924406155,18.56GB,19,2026-04-03 18:24:12,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/benchmarks/frontend_cache_ab_v1,9078,8.87KB,1,2026-04-03 17:24:21,False,True,False,False,False,,,,,
dir_depth_1_3,outputs/benchmarks/frontend_cache_ab_v1/frontend_cache,0,0B,0,2026-04-03 17:23:14,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/benchmarks/frontend_cache_ab_v1/raw,0,0B,0,2026-04-03 17:22:03,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/benchmarks/frontend_cache_ab_v1_gpu3,9960992979,9.28GB,9,2026-04-03 17:27:12,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/benchmarks/frontend_cache_ab_v1_gpu3/frontend_cache,4980494304,4.64GB,4,2026-04-03 17:27:11,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/benchmarks/frontend_cache_ab_v1_gpu3/raw,4980493782,4.64GB,4,2026-04-03 17:26:28,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/benchmarks/stwm_frontend_cache_confirm_v1,9963404098,9.28GB,9,2026-04-03 18:24:12,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/benchmarks/stwm_frontend_cache_confirm_v1/frontend_cache,4981700159,4.64GB,4,2026-04-03 18:24:09,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/benchmarks/stwm_frontend_cache_confirm_v1/raw,4981699018,4.64GB,4,2026-04-03 18:20:27,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval,73321,71.60KB,27,2026-04-03 12:09:14,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/detached_protocol_v4_2_smoke,3012,2.94KB,1,2026-04-03 12:02:43,False,True,False,False,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_completed_protocol_eval_20260403,1852,1.81KB,2,2026-04-03 02:35:35,False,False,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_completed_protocol_eval_20260403/1b_seed123_full_v4_2_1b,1638,1.60KB,1,2026-04-03 02:35:35,False,False,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_completed_protocol_eval_real_evalonly_20260403,7615,7.44KB,5,2026-04-03 02:41:10,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_completed_protocol_eval_real_evalonly_20260403/1b_seed123_full_v4_2_1b,7396,7.22KB,3,2026-04-03 02:41:10,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_detached_protocol_eval_20260403,60842,59.42KB,19,2026-04-03 12:09:14,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_detached_protocol_eval_20260403/1b_seed123_full_v4_2_1b,14704,14.36KB,4,2026-04-03 12:05:56,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_detached_protocol_eval_20260403/1b_seed123_wo_semantics_v4_2_1b,14712,14.37KB,4,2026-04-03 12:08:07,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_detached_protocol_eval_20260403/220m_seed42_full_v4_2,14613,14.27KB,4,2026-04-03 12:08:39,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/eval/stwm_v4_2_detached_protocol_eval_20260403/220m_seed42_wo_semantics_v4_2,14682,14.34KB,4,2026-04-03 12:09:13,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/monitoring,6811,6.65KB,5,2026-04-02 20:43:39,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/monitoring/stwm_hourly_push,6811,6.65KB,5,2026-04-02 20:43:39,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue,1554003,1.48MB,333,2026-04-05 03:38:50,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b,23573,23.02KB,13,2026-04-01 13:19:40,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b/done,3349,3.27KB,4,2026-04-01 13:19:40,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b/failed,473,473B,1,2026-04-01 13:12:16,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b/logs,16722,16.33KB,6,2026-04-01 13:19:40,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b/pending,0,0B,0,2026-04-01 13:17:53,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_1b/running,0,0B,0,2026-04-01 13:19:40,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_1b_real,11590,11.32KB,8,2026-04-01 15:10:57,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b_real/lane0,5779,5.64KB,4,2026-04-01 15:06:26,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_1b_real/lane1,5811,5.67KB,4,2026-04-01 15:10:57,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_gpu,0,0B,0,2026-04-01 13:10:19,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_gpu/done,0,0B,0,2026-04-01 13:10:19,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_gpu/failed,0,0B,0,2026-04-01 13:10:19,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_gpu/logs,0,0B,0,2026-04-01 13:10:19,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_gpu/pending,0,0B,0,2026-04-01 13:10:19,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_gpu/running,0,0B,0,2026-04-01 13:10:19,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2,418300,408.50KB,62,2026-04-04 01:08:55,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2/d0_eval,199105,194.44KB,10,2026-04-03 14:57:34,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2/d1_train,219195,214.06KB,51,2026-04-04 01:08:55,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2/leases,0,0B,0,2026-04-04 01:08:55,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2_frontend_default_v1,935554,913.63KB,198,2026-04-05 03:38:50,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train,935554,913.63KB,197,2026-04-05 03:38:50,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2_frontend_default_v1/leases,0,0B,0,2026-04-05 03:38:50,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix,164986,161.12KB,52,2026-04-03 12:45:27,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane0,4737,4.63KB,8,2026-04-03 12:43:47,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane1,5403,5.28KB,6,2026-04-03 12:43:47,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane2,133533,130.40KB,8,2026-04-03 12:45:09,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane3,1826,1.78KB,4,2026-04-02 18:45:53,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/parked_20260403_1245,11697,11.42KB,12,2026-04-03 12:45:27,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/rebalance_backup_20260402_205521,0,0B,0,2026-04-02 20:55:21,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/rebalance_backup_20260402_205632,7766,7.58KB,13,2026-04-02 20:56:32,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/reorder_backup_20260402_201353,0,0B,0,2026-04-02 20:13:53,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests,20885168,19.92MB,272,2026-03-31 12:29:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/cutie_vspw,418435,408.63KB,45,2026-03-31 12:27:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/cutie_vspw/Annotations,418435,408.63KB,45,2026-03-31 12:27:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/deva_vspw,7925490,7.56MB,91,2026-03-31 01:03:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/deva_vspw/Annotations,1547331,1.48MB,45,2026-03-31 01:03:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/deva_vspw/Visualizations,5700952,5.44MB,45,2026-03-31 01:03:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/sam2_vspw,677142,661.27KB,45,2026-03-30 12:42:48,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/sam2_vspw/43_-LB7cp3_mqY,677142,661.27KB,45,2026-03-30 12:42:48,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/xmem_vspw,409749,400.15KB,45,2026-03-31 12:29:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/xmem_vspw/43_-LB7cp3_mqY,409749,400.15KB,45,2026-03-31 12:29:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/yolo_world_ultralytics,11453255,10.92MB,45,2026-03-31 01:05:07,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/yolo_world_ultralytics/vspw_43,11453255,10.92MB,45,2026-03-31 01:05:07,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/training,988714168056,920.81GB,3890,2026-04-05 03:38:48,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_frontend_cache_pilot_v1,9961004876,9.28GB,10,2026-04-03 17:20:07,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_frontend_cache_pilot_v1/frontend_cache_seed42,4980502773,4.64GB,5,2026-04-03 17:20:07,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_frontend_cache_pilot_v1/raw_seed42,4980502103,4.64GB,5,2026-04-03 17:18:50,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_query_gradient_audit_fix_smoke_v1,7440,7.27KB,2,2026-04-03 19:46:13,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_query_gradient_audit_fix_smoke_v1/checkpoints,0,0B,0,2026-04-03 19:46:05,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged,36746549568,34.22GB,52,2026-04-01 13:49:37,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged/base,36745999902,34.22GB,29,2026-04-01 13:49:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged/state,547374,534.54KB,20,2026-04-01 13:49:37,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged/status,2292,2.24KB,3,2026-04-01 13:19:40,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation,48999472175,45.63GB,43,2026-04-01 15:12:31,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation/base,24501455699,22.82GB,20,2026-04-01 15:11:56,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation/state,24498014304,22.82GB,20,2026-04-01 15:11:59,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation/status,2172,2.12KB,3,2026-04-01 15:12:31,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_smoke,14371,14.03KB,6,2026-04-01 12:59:32,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_smoke/full_v4_2,8707,8.50KB,2,2026-04-01 12:57:44,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_smoke/resource_probe,5664,5.53KB,4,2026-04-01 12:59:32,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_diag_v1,29904496894,27.85GB,53,2026-04-04 01:08:54,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_diag_v1/seed_42,29904496894,27.85GB,53,2026-04-04 01:08:54,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_default_v1,29904562159,27.85GB,54,2026-04-04 00:08:00,True,True,False,True,False,,,,,
